央视频道[V4],#genre#
CCTV-2 财经,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV-3 综艺,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV-4 中文国际,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV-5 体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV-5+ 体育赛事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV-6 电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV-7 国防军事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV-8 电视剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV-9 纪录,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV-10 科教,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV-11 戏曲,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV-12 社会与法,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV-13 新闻,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8
CCTV-14 少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV-15 音乐,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV-16 奥林匹克,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV-17 农业农村,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
央视频道[V6],#genre#
CCTV1,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226559/index.m3u8
CCTV2,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000502/index.m3u8?
CCTV3,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226021/index.m3u8
CCTV4,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226428/index.m3u8
CCTV5,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226019/index.m3u8
CCTV5+,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225603/index.m3u8
CCTV6,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226010/index.m3u8
CCTV7,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225733/index.m3u8
CCTV8,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226008/index.m3u8
CCTV9,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225734/index.m3u8
CCTV10,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226473/index.m3u8
CCTV11,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226565/index.m3u8
CCTV12,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225731/index.m3u8
CCTV13,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226537/index.m3u8
CCTV14,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225732/index.m3u8
CCTV15,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226476/index.m3u8
CCTV16,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226100/index.m3u8
CCTV17,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225765/index.m3u8
CCTV1,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226559/index.m3u8
CCTV1,http://223.10.24.65:8083/udp/239.1.1.7:8007
CCTV2,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8
CCTV3,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV4,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV5,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5+,http://[2409:8087:5e01:34::22]:6610/ZTE_CMS/00000001000000060000000000000132/index.m3u8?IAS
CCTV5+,http://[2409:8087:5e01:34::22]:6610/ZTE_CMS/00000001000000060000000000000132/index.m3u8?IAS
CCTV6,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV7,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV8,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV9,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV10,http://[2409:8087:1a01:df::4077]:80/PLTV/88888888/224/3221225677/index.m3u8
CCTV11,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226565/index.m3u8
CCTV12,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV13,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8
CCTV14,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV15,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226476/index.m3u8
CCTV16,http://[2409:8087:1a01:df::4077]:80/PLTV/88888888/224/3221225893/index.m3u8
CCTV17,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
CCTV4K,http://27.222.3.214/liveali-tp4k.cctv.cn/live/4K10M.stream/playlist.m3u8
CCTV1,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226016/index.m3u8
CCTV2,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225588/index.m3u8
CCTV3,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226021/index.m3u8
CCTV4,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226007/index.m3u8
CCTV5,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226019/index.m3u8
CCTV5+,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225603/index.m3u8
CCTV6,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226010/index.m3u8
CCTV7,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225733/index.m3u8
CCTV8,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226008/index.m3u8
CCTV9,http://
卫视频道[V4],#genre#
贵州卫视,http://171.8.75.217:8011/tsfile/live/0120_1.m3u8
辽宁卫视,http://171.8.75.217:8011/tsfile/live/0121_1.m3u8
北京卫视,http://171.8.75.217:8011/tsfile/live/0122_1.m3u8
四川卫视,http://171.8.75.217:8011/tsfile/live/0123_1.m3u8
浙江卫视,http://171.8.75.217:8011/tsfile/live/0124_1.m3u8
广东卫视,http://171.8.75.217:8011/tsfile/live/0125_1.m3u8
深圳卫视,http://171.8.75.217:8011/tsfile/live/0126_1.m3u8
江苏卫视,http://171.8.75.217:8011/tsfile/live/0127_1.m3u8
湖南卫视,http://171.8.75.217:8011/tsfile/live/0128_1.m3u8
安徽卫视,http://171.8.75.217:8011/tsfile/live/0130_1.m3u8
山东卫视,http://171.8.75.217:8011/tsfile/live/0131_1.m3u8
湖北卫视,http://171.8.75.217:8011/tsfile/live/0132_1.m3u8
天津卫视,http://171.8.75.217:8011/tsfile/live/0135_1.m3u8
陕西卫视,http://171.8.75.217:8011/tsfile/live/0136_1.m3u8
东南卫视,http://171.8.75.217:8011/tsfile/live/0137_1.m3u8
河南卫视,http://171.8.75.217:8011/tsfile/live/0139_1.m3u8
东方卫视,http://171.8.75.217:8011/tsfile/live/0107_1.m3u8
内蒙古卫视,http://171.8.75.217:8011/tsfile/live/0109_1.m3u8
宁夏卫视,http://171.8.75.217:8011/tsfile/live/0112_1.m3u8
广西卫视,http://171.8.75.217:8011/tsfile/live/0113_1.m3u8
吉林卫视,http://171.8.75.217:8011/tsfile/live/0116_1.m3u8
山西卫视,http://171.8.75.217:8011/tsfile/live/0118_1.m3u8
云南卫视,http://171.8.75.217:8011/tsfile/live/0119_1.m3u8
文体旅游,http://171.8.75.217:8011/tsfile/live/0110_1.m3u8
新闻综合,http://171.8.75.217:8011/tsfile/live/0111_1.m3u8
海南卫视,http://home.yulei.online:9999/udp/226.0.1.143:2071
湖南卫视,http://home.yulei.online:9999/udp/226.0.1.146:3075
浙江卫视,http://home.yulei.online:9999/udp/226.0.1.147:3076
安徽卫视,http://home.yulei.online:9999/udp/226.0.1.148:3077
广东卫视,http://home.yulei.online:9999/udp/226.0.1.149:3078
深圳卫视,http://home.yulei.online:9999/udp/226.0.1.150:3079
黑龙江卫视,http://home.yulei.online:9999/udp/226.0.1.151:3080
湖北卫视,http://home.yulei.online:9999/udp/226.0.1.152:3082
天津卫视,http://home.yulei.online:9999/udp/226.0.1.153:3083
山东卫视,http://home.yulei.online:9999/udp/226.0.1.154:3084
云南卫视,http://home.yulei.online:9999/udp/226.0.1.156:2070
辽宁卫视,http://home.yulei.online:9999/udp/226.0.1.177:3101
重庆卫视,http://home.yulei.online:9999/udp/226.0.1.178:3102
东方卫视,http://home.yulei.online:9999/udp/226.0.1.183:3106
江苏卫视,http://home.yulei.online:9999/udp/226.0.1.184:3107
北京卫视,http://home.yulei.online:9999/udp/226.0.1.185:3108
河北卫视,http://tv.pull.hebtv.com/jishi/weishipindao.flv?t=2510710360&k=689e494c226aa7038632a897aa3dbd27
河北卫视,http://home.yulei.online:9999/udp/226.0.1.186:3109
四川卫视,http://home.yulei.online:9999/udp/226.0.1.187:3110
贵州卫视,http://home.yulei.online:9999/udp/226.0.1.188:3116
东南卫视,http://home.yulei.online:9999/udp/226.0.1.194:3119
河南卫视,http://home.yulei.online:9999/udp/226.0.1.201:2064
江西卫视,http://home.yulei.online:9999/udp/226.0.1.219:2067
吉林卫视,http://home.yulei.online:9999/udp/226.0.1.220:2068
广西卫视,http://home.yulei.online:9999/udp/226.0.1.75:2066
山西卫视,http://home.yulei.online:9999/udp/226.0.1.85:2001
湖南卫视,http://27.184.66.142:1024/rtp/239.254.200.48:8012
浙江卫视,http://27.184.66.142:1024/rtp/239.254.200.53:8036
江苏卫视,http://27.184.66.142:1024/rtp/239.254.200.51:8028
安徽卫视,http://27.184.66.142:1024/rtp/239.254.200.163:6000
东南卫视,http://27.184.66.142:1024/rtp/239.254.201.13:6291
北京卫视,http://27.184.66.142:1024/rtp/239.254.200.47:8024
天津卫视,http://27.184.66.142:1024/rtp/239.254.200.54:1234
辽宁卫视,http://27.184.66.142:1024/rtp/239.254.200.57:8056
山东卫视,http://27.184.66.142:1024/rtp/239.254.200.55:8052
云南卫视,http://27.184.66.142:1024/rtp/239.254.200.68:8108
河南卫视,http://27.184.66.142:1024/rtp/239.254.201.16:7174
黑龙江卫视,http://27.184.66.142:1024/rtp/239.254.200.49:8016
四川卫视,http://27.184.66.142:1024/rtp/239.254.200.202:6325
江西卫视,http://27.184.66.142:1024/rtp/239.254.201.12:6290
贵州卫视,http://27.184.66.142:1024/rtp/239.254.201.20:6315
深圳卫视,http://27.184.66.142:1024/rtp/239.254.200.50:8020
湖北卫视,http://27.184.66.142:1024/rtp/239.254.200.164:6000
东方卫视,http://27.184.66.142:1024/rtp/239.254.200.52:8032
重庆卫视,http://27.184.66.142:1024/rtp/239.254.200.203:6323
山西卫视,http://27.184.66.142:1024/rtp/239.254.200.83:8172
广东卫视,http://27.184.66.142:1024/rtp/239.254.200.56:8048
广西卫视,http://27.184.66.142:1024/rtp/239.254.200.80:8300
吉林卫视,http://27.184.66.142:1024/rtp/239.254.201.15:6339
陕西卫视,http://27.184.66.142:1024/rtp/239.254.200.82:8140
内蒙古卫视,http://27.184.66.142:1024/rtp/239.254.200.84:8176
青海卫视,http://27.184.66.142:1024/rtp/239.254.200.85:8184
海南卫视,http://27.184.66.142:1024/rtp/239.254.201.125:6288
宁夏卫视,http://27.184.66.142:1024/rtp/239.254.200.87:8124
西藏卫视,http://27.184.66.142:1024/rtp/239.254.200.88:8164
新疆卫视,http://27.184.66.142:1024/rtp/239.254.200.89:8160
甘肃卫视,http://27.184.66.142:1024/rtp/239.254.200.90:8188
安徽卫视,http://123.113.187.204:8000/rtp/239.3.1.211:8064$北京uni
北京卫视,http://123.113.187.204:8000/rtp/239.3.1.241:8000$北京uni
东方卫视,http://123.113.187.204:8000/rtp/239.3.1.136:8032$北京uni
东南卫视,http://123.113.187.204:8000/rtp/239.3.1.156:8148$北京uni
广东卫视,http://123.113.187.204:8000/rtp/239.3.1.142:8048$北京uni
贵州卫视,http://123.113.187.204:8000/rtp/239.3.1.149:8076$北京uni
黑龙江卫视,http://123.113.187.204:8000/rtp/239.3.1.133:8016$北京uni
湖北卫视,http://123.113.187.204:8000/rtp/239.3.1.138:8044$北京uni
湖南卫视,http://123.113.187.204:8000/rtp/239.3.1.132:8012$北京uni
吉林卫视,http://123.113.187.204:8000/rtp/239.3.1.240:8172$北京uni
江苏卫视,http://123.113.187.204:8000/rtp/239.3.1.135:8028$北京uni
江西卫视,http://123.113.187.204:8000/rtp/239.3.1.123:8164$北京uni
金鹰纪实,http://123.113.187.204:8000/rtp/239.3.1.58:8156$北京uni
辽宁卫视,http://123.113.187.204:8000/rtp/239.3.1.210:8056$北京uni
山东卫视,http://123.113.187.204:8000/rtp/239.3.1.209:8052$北京uni
深圳卫视,http://123.113.187.204:8000/rtp/239.3.1.134:8020$北京uni
天津卫视,http://123.113.187.204:8000/rtp/239.3.1.141:1234$北京uni
浙江卫视,http://123.113.187.204:8000/rtp/239.3.1.137:8036$北京uni
重庆卫视,http://123.113.187.204:8000/rtp/239.3.1.122:8160$北京uni
兵团卫视,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2022606701/timeshift.m3u8?delay=0&cdn=5202
山东卫视,  http://lives.jnnews.tv/video/s10001-SDTV/index.m3u8
厦门卫视,http://dassby.qqff.top:99/live/厦门卫视/index.m3u8
江苏卫视,http://123.113.187.204:8000/rtp/239.3.1.135:8028$北京uni
江西卫视,http://123.113.187.204:8000/rtp/239.3.1.123:8164$北京uni
金鹰纪实,http://123.113.187.204:8000/rtp/239.3.1.58:8156$北京uni
延边频道,http://live.ybtvyun.com/video/s10006-44f040627ca1/index.m3u8
内蒙古卫视,https://livestream-bt.nmtv.cn/nmtv/2314general.m3u8?txSecret=dc348a27bd36fe1bd63562af5e7269ea&txTime=771EF880
人民铁道,http://39.162.27.11:8081/newlive/live/hls/2/live.m3u8
郑铁频道,http://39.162.27.11:8081/newlive/live/hls/1/live.m3u8
内蒙古卫视,https://livestream-bt.nmtv.cn/nmtv/2314general.m3u8?txSecret=dc348a27bd36fe1bd63562af5e7269ea&txTime=771EF880
河南卫视,http://43217878.xyz:5566/rtp/239.16.20.21:10210
湖南卫视,http://121.21.84.3:8888/rtp/239.253.92.84:8015
湖北卫视,http://121.21.84.3:8888/rtp/239.253.92.210:6567
浙江卫视,http://121.21.84.3:8888/rtp/239.253.92.90:8020
江苏卫视,http://121.21.84.3:8888/rtp/239.253.92.88:8018
江西卫视,http://121.21.84.3:8888/rtp/239.253.92.19:6145
东方卫视,http://121.21.84.3:8888/rtp/239.253.92.89:8019
广东卫视,http://121.21.84.3:8888/rtp/239.253.92.206:8108
广西卫视,http://121.21.84.3:8888/rtp/239.253.92.76:8043
深圳卫视,http://121.21.84.3:8888/rtp/239.253.92.86:8017
北京卫视,http://121.21.84.3:8888/rtp/239.253.92.87:8014
东南卫视,http://121.21.84.3:8888/rtp/239.253.92.201:6146
四川卫视,http://121.21.84.3:8888/rtp/239.253.92.16:6043
安徽卫视,http://121.21.84.3:8888/rtp/239.253.92.209:6566
山东卫视,http://121.21.84.3:8888/rtp/239.253.92.207:8109
天津卫视http://121.21.84.3:8888/rtp/239.253.92.91:8021
河南卫视,http://121.21.84.3:8888/rtp/239.253.92.137:6144
海南卫视,http://121.21.84.3:8888/rtp/239.253.93.155:6323
贵州卫视,http://121.21.84.3:8888/rtp/239.253.92.105:6055
辽宁卫视,http://121.21.84.3:8888/rtp/239.253.92.115:6056
重庆卫视,http://121.21.84.3:8888/rtp/239.253.92.10:6053
吉林卫视,http://121.21.84.3:8888/rtp/239.253.92.202:6147
江苏卫视,http://27.184.66.142:1024/udp/239.254.200.51:8028
深圳卫视,http://27.184.66.142:1024/udp/239.254.200.50:8020
北京卫视,http://27.184.66.142:1024/udp/239.254.200.47:8024
云南卫视,http://27.184.66.142:1024/udp/239.254.200.68:8108
广西卫视,http://27.184.66.142:1024/udp/239.254.200.80:8300
黑龙江卫视,http://27.184.66.142:1024/udp/239.254.200.49:8016
安徽卫视,http://27.184.66.142:1024/udp/239.254.200.163:6000
山西卫视,http://27.184.66.142:1024/udp/239.254.200.83:8172
湖北卫视,http://27.184.66.142:1024/udp/239.254.200.164:6000
辽宁卫视,http://27.184.66.142:1024/udp/239.254.200.57:8056
广东卫视,http://27.184.66.142:1024/udp/239.254.200.56:8048
河南卫视,http://27.184.66.142:1024/udp/239.254.201.16:7174
河南卫视,http://43217878.xyz:5566/rtp/239.16.20.21:10210
卫视备,#genre#
安徽卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8
兵团卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226439/index.m3u8
北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225728/index.m3u8
重庆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8
东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225735/index.m3u8
东南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8
甘肃卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225633/index.m3u8
广东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8
广西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226380/index.m3u8
贵州卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8
河北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8
河南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8
湖北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225627/index.m3u8
湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225610/index.m3u8
江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225613/index.m3u8
江西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8
吉林卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226397/index.m3u8
辽宁卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225619/index.m3u8
内蒙古卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225634/index.m3u8
宁夏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225632/index.m3u8
青海卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225628/index.m3u8
山东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8
山西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225624/index.m3u8
陕西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225625/index.m3u8
深圳卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225739/index.m3u8
四川卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8
天津卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225740/index.m3u8
海南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8
新疆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225635/index.m3u8
西藏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225638/index.m3u8
延边卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226516/index.m3u8
云南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226444/index.m3u8
浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225612/index.m3u8


卫视频道[V6],#genre#
北京卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/index.m3u8
东方卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226345/index.m3u8
湖南卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226307/index.m3u8
浙江卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226339/index.m3u8
江苏卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226310/index.m3u8
江西卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8
河北卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8
河南卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8
海南卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8
深圳卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226313/index.m3u8
湖北卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226477/index.m3u8
四川卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8
天津卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226459/index.m3u8
安徽卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8
山东卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8
广东卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8
广西卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226549/index.m3u8
贵州卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8
